customer_id,name,email,phone,age,sex,join_date,leave_date,churn_flag,subscription_plan,city,zip_code,last_login_date
1,Linda Brown,linda.brown27@yahoo.com,+1-386-304-4544,40,Female,2020-12-17,,0,Premium,Turku,11491,2024-12-29
2,Sarah Davis,sarah.davis89@gmail.com,+1-314-218-4539,65,Male,2024-04-19,2025-03-07,1,Free,Pori,95463,2024-07-14
3,David Smith,david.smith76@yahoo.com,+1-880-705-1876,42,Other,2024-12-09,,0,Free,Lahti,41958,2025-02-12
4,Jane Smith,jane.smith31@yahoo.com,+1-922-324-8651,58,Female,2023-07-08,,0,Premium,Pori,70914,2025-03-12
5,Laura Rodriguez,laura.rodriguez80@hotmail.com,+1-532-800-8660,64,Male,2020-12-06,,0,Enterprise,Lahti,19916,2021-05-25
6,Alex Johnson,alex.johnson66@hotmail.com,+1-213-611-7388,52,Other,2020-02-01,,0,Free,Oulu,38244,2025-03-24
7,Alex Miller,alex.miller99@yahoo.com,+1-996-671-3858,43,Female,2023-03-17,,0,Free,Kuopio,33482,2024-03-30
8,David Williams,david.williams27@hotmail.com,+1-853-528-8654,76,Female,2015-01-25,2018-03-28,1,Enterprise,Kuopio,75900,2018-06-10
9,John Johnson,john.johnson31@example.com,+1-771-474-9150,70,Other,2015-09-17,,0,Free,Vantaa,09288,2024-09-21
10,Emily Johnson,emily.johnson17@yahoo.com,+1-380-284-9398,35,Other,2018-10-30,,0,Enterprise,Tampere,09492,2019-03-27
11,Sarah Williams,sarah.williams26@yahoo.com,+1-232-666-1279,19,Female,2022-08-11,2023-08-19,1,Enterprise,Pori,26899,2024-06-29
12,Alex Davis,alex.davis5@example.com,+1-507-434-6804,64,Other,2017-03-08,,0,Free,Tampere,26691,2021-11-20
13,Jane Rodriguez,jane.rodriguez71@example.com,+1-307-952-5156,44,Female,2019-01-27,,0,Basic,Espoo,35975,2024-09-04
14,Alex Rodriguez,alex.rodriguez94@gmail.com,+1-911-255-7330,59,Male,2015-09-24,,0,Premium,Pori,17108,2020-05-23
15,Linda Miller,linda.miller56@example.com,+1-591-240-1328,32,Other,2018-04-07,,0,Free,Kuopio,98688,2020-02-05
16,Emily Jones,emily.jones68@example.com,+1-843-539-1324,56,Other,2024-05-27,2025-04-10,1,Basic,Kuopio,09498,2024-09-12
17,Robert Wilson,robert.wilson30@gmail.com,+1-399-890-5268,20,Male,2024-11-26,,0,Premium,Oulu,35404,2025-02-18
18,Michael Rodriguez,michael.rodriguez48@gmail.com,+1-337-397-4360,61,Other,2021-05-15,,0,Premium,Tampere,75324,2025-04-22
19,Alex Williams,alex.williams93@example.com,+1-236-480-3393,67,Other,2015-10-11,2016-12-10,1,Premium,Pori,00309,2024-02-16
20,Robert Johnson,robert.johnson86@example.com,+1-204-813-9690,51,Other,2022-09-11,,0,Basic,Jyväskylä,70768,2023-04-30
21,Emily Wilson,emily.wilson58@yahoo.com,+1-583-995-7954,22,Other,2021-08-01,2025-01-20,1,Enterprise,Helsinki,05119,2023-07-10
22,Robert Williams,robert.williams24@yahoo.com,+1-452-200-9086,66,Female,2023-12-13,,0,Free,Turku,64410,2024-02-21
23,Robert Jones,robert.jones79@gmail.com,+1-744-325-9887,47,Other,2017-06-10,,0,Premium,Vantaa,30563,2021-07-18
24,Alex Garcia,alex.garcia47@example.com,+1-610-228-1867,67,Other,2019-02-08,,0,Enterprise,Pori,95840,2021-03-20
25,Alex Rodriguez,alex.rodriguez10@gmail.com,+1-374-556-2379,46,Male,2018-02-16,2019-09-15,1,Premium,Vantaa,15653,2022-10-24
26,Jane Smith,jane.smith84@yahoo.com,+1-483-386-5718,31,Female,2021-06-13,2022-06-19,1,Premium,Vantaa,54598,2025-02-05
27,John Wilson,john.wilson12@yahoo.com,+1-463-530-3301,29,Female,2015-08-08,2017-02-25,1,Premium,Vantaa,67893,2020-10-07
28,Robert Brown,robert.brown74@example.com,+1-545-223-6476,33,Female,2019-05-27,,0,Premium,Pori,48609,2021-06-03
29,John Miller,john.miller40@example.com,+1-407-837-6327,71,Male,2018-05-16,,0,Basic,Kuopio,53823,2025-04-01
30,Sarah Jones,sarah.jones75@example.com,+1-968-266-3561,69,Female,2020-09-18,2021-12-13,1,Free,Helsinki,41244,2024-12-02
31,Emily Brown,emily.brown30@example.com,+1-471-256-8492,56,Female,2022-07-26,,0,Premium,Tampere,71926,2023-04-13
32,Emily Smith,emily.smith51@gmail.com,+1-430-330-9107,54,Male,2019-09-17,,0,Premium,Jyväskylä,68163,2024-12-21
33,David Smith,david.smith2@hotmail.com,+1-962-488-7892,30,Other,2015-11-22,2021-11-10,1,Basic,Vantaa,23572,2023-09-05
34,Laura Smith,laura.smith3@example.com,+1-553-384-3420,21,Female,2015-07-20,,0,Free,Oulu,38909,2021-04-26
35,Linda Garcia,linda.garcia2@gmail.com,+1-651-504-9373,65,Female,2018-04-20,,0,Premium,Pori,09949,2021-06-15
36,Linda Miller,linda.miller84@yahoo.com,+1-981-288-8345,76,Male,2019-11-10,,0,Premium,Vantaa,16269,2021-03-26
37,Sarah Davis,sarah.davis48@example.com,+1-423-227-7321,55,Other,2015-10-10,2024-07-13,1,Free,Lahti,94398,2016-09-23
38,Jane Brown,jane.brown15@yahoo.com,+1-897-779-5121,27,Female,2015-07-19,2016-03-28,1,Premium,Helsinki,55866,2020-03-02
39,Emily Smith,emily.smith91@yahoo.com,+1-627-380-1241,67,Male,2017-05-19,2019-06-01,1,Basic,Espoo,34649,2024-10-19
40,John Garcia,john.garcia7@hotmail.com,+1-518-283-5084,47,Male,2019-09-15,2022-02-02,1,Free,Turku,56646,2020-05-31
41,David Rodriguez,david.rodriguez79@example.com,+1-783-811-4959,41,Female,2025-02-03,,0,Basic,Lahti,92043,2025-02-20
42,Emily Davis,emily.davis70@example.com,+1-869-669-2443,23,Other,2024-05-24,,0,Free,Turku,46183,2025-01-16
43,Emily Jones,emily.jones49@hotmail.com,+1-506-504-1596,65,Male,2018-03-21,,0,Enterprise,Vantaa,36548,2020-07-20
44,David Johnson,david.johnson12@hotmail.com,+1-496-506-9183,27,Male,2018-03-23,,0,Basic,Lahti,85219,2019-12-22
45,Jane Brown,jane.brown29@example.com,+1-484-610-5381,30,Male,2018-04-04,,0,Premium,Lahti,56456,2021-04-06
46,Michael Williams,michael.williams52@hotmail.com,+1-683-326-9232,32,Male,2023-09-23,,0,Premium,Pori,52393,2023-10-29
47,Emily Davis,emily.davis62@example.com,+1-346-929-9746,40,Other,2019-10-25,,0,Free,Tampere,46326,2024-06-15
